sim_id,truth_id,beta_case,n,alpha,tau,lambda_D,lambda_H,lambda_C,betaD1,betaD2,betaH1,betaH2,betaC1,betaC2,L,link,adjusted,n_rep,seed_base,truth_n_pair,truth_n_iter,truth_seed,progress_every
61,15,B1,400,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,Inf,logit,unadjusted,1000,710000,100000,100,65000,25
62,15,B1,400,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,Inf,logit,IPCW,1000,720000,100000,100,65000,25
63,16,B1,400,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,Inf,probit,unadjusted,1000,730000,100000,100,66000,25
64,16,B1,400,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,Inf,probit,IPCW,1000,740000,100000,100,66000,25
65,17,B2,200,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,0.5,logit,unadjusted,1000,750000,100000,100,67000,25
66,17,B2,200,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,0.5,logit,IPCW,1000,760000,100000,100,67000,25
67,18,B2,200,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,0.5,probit,unadjusted,1000,770000,100000,100,68000,25
68,18,B2,200,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,0.5,probit,IPCW,1000,780000,100000,100,68000,25
69,19,B2,200,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,1.0,logit,unadjusted,1000,790000,100000,100,69000,25
70,19,B2,200,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,1.0,logit,IPCW,1000,800000,100000,100,69000,25
71,20,B2,200,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,1.0,probit,unadjusted,1000,810000,100000,100,70000,25
